"","user_genome","Domain","Phylum","Class","Order","Family","Genus","Species","Completeness","Contamination"
"404","bin_m8.vmb119","Bacteria","Desulfobacterota","Desulfovibrionia","Desulfovibrionales","Desulfovibrionaceae","Desulfovibrio","",91.86,3.34
"405","bin_m8.vmb30","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Ruminococcaceae","Angelakisella","",87.14,1.61
"406","bin_m8.vmb6","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Rikenella","",99.04,0.48
"407","bin_m8.vmb65","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","Acetatifactor","",91.38,1.44
"408","bin_m8.vmb68","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","","","",91.66,0
"409","bin_m9.cct137_sub","Bacteria","Firmicutes_A","Clostridia_A","Christensenellales","Borkfalkiaceae","UBA11940","",92,0.07
"410","bin_m9.cct6","Bacteria","Firmicutes_A","Clostridia_A","Christensenellales","Borkfalkiaceae","UBA11940","",81.83,0.91
"411","bin_m9.mtb140","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","VSOB01","",97.91,2.96
"412","bin_m9.mtb16","Bacteria","Firmicutes_A","Clostridia_A","Christensenellales","Borkfalkiaceae","UBA11940","",94.56,0.53
"413","bin_s13.cct32","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter","Acinetobacter sp003024515",70.59,2.63
"414","bin_s13.cct72","Bacteria","Firmicutes","Bacilli","Staphylococcales","Salinicoccaceae","Jeotgalicoccus","Jeotgalicoccus nanhaiensis",78.43,2.63
"415","bin_s13.vmb19","Bacteria","Proteobacteria","Gammaproteobacteria","Cardiobacteriales","Wohlfahrtiimonadaceae","Wohlfahrtiimonas","",100,0
"416","bin_s13.vmb53","Bacteria","Firmicutes","Bacilli","Bacillales_A","Planococcaceae","Metalysinibacillus","Metalysinibacillus saudimassiliensis",98.04,0
"417","bin_s14.cct55_sub","Bacteria","Actinobacteriota","Actinomycetia","Actinomycetales","Brevibacteriaceae","Brevibacterium","",74.51,1.96
"418","bin_s14.cct6","Bacteria","Actinobacteriota","Actinomycetia","Actinomycetales","Micrococcaceae","Rothia","Rothia sp004136585",90.2,2.63
"419","bin_s14.mtb11","Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus faecalis",100,0
"420","bin_s14.mtb51","Bacteria","Campylobacterota","Campylobacteria","Campylobacterales","Helicobacteraceae","NHYN01","",98.04,0
"421","bin_s14.mtb52","Bacteria","Spirochaetota","Brevinematia","Brevinematales","Brevinemataceae","Brevinema","",94.12,0
"422","bin_s14.mxb11","Bacteria","Actinobacteriota","Actinomycetia","Mycobacteriales","Mycobacteriaceae","Dietzia","Dietzia timorensis",100,2.63
"423","bin_s14.vmb0","Bacteria","Firmicutes","Bacilli","Mycoplasmatales","Metamycoplasmataceae","UBA710","",94.12,0
"424","bin_s19.cct18_sub","Bacteria","Firmicutes_A","Clostridia","Clostridiales","Clostridiaceae","Clostridium_P","Clostridium_P perfringens",100,0
"425","bin_s19.mtb52","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Alcaligenes","Alcaligenes faecalis",100,0
"426","bin_s19.vmb3","Bacteria","Chlamydiota","Chlamydiia","Chlamydiales","Chlamydiaceae","","",94.12,0
"427","bin_s2.mtb4","Bacteria","Firmicutes","Bacilli","Lactobacillales","Vagococcaceae","Vagococcus","Vagococcus martis",96.08,1.96
"428","bin_s2.mxb1","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia","Escherichia coli",86.27,1.96
"429","bin_s21.mtb63","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Neisseriaceae","Neisseria","",100,2.63
"430","bin_s21.mxb1","Bacteria","Firmicutes_A","Clostridia","Peptostreptococcales","Peptostreptococcaceae","Romboutsia_A","",80.39,1.96
"431","bin_s21.mxb8","Bacteria","Actinobacteriota","Actinomycetia","Mycobacteriales","Mycobacteriaceae","Corynebacterium","",100,0
"432","bin_s22.cct46","Bacteria","Spirochaetota","Leptospirae","Leptospirales","Leptospiraceae","Leptospira","Leptospira kirschneri",94.12,0
"433","bin_s23.cct42","Bacteria","Campylobacterota","Campylobacteria","Campylobacterales","Helicobacteraceae","Helicobacter_A","",96.08,0
"434","bin_s23.vmb19","Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus_I","Enterococcus_I alcedinis",100,0
"435","bin_s24.vmb3","Bacteria","Firmicutes","Bacilli","Lactobacillales","Vagococcaceae","Vagococcus","Vagococcus fluvialis",100,0
"436","bin_s27.mtb32","Bacteria","Actinobacteriota","Actinomycetia","Mycobacteriales","Mycobacteriaceae","Corynebacterium","",100,0
"437","bin_s27.mtb39","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Pasteurellaceae","Frederiksenia","",100,2.63
"438","bin_s27.vmb32","Bacteria","Firmicutes","Bacilli","Bacillales_A","Planococcaceae","Metalysinibacillus","Metalysinibacillus alkalisoli",100,0
"439","bin_s27.vmb37","Bacteria","Firmicutes","Bacilli","Erysipelotrichales","Erysipelotrichaceae","Erysipelothrix","",98.04,0
"440","bin_s27.vmb3_sub","Bacteria","Proteobacteria","Gammaproteobacteria","Cardiobacteriales","Cardiobacteriaceae","","",90.2,0
"441","bin_s28.cct16","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas_C","",100,1.96
"442","bin_s28.cct47","Bacteria","Firmicutes","Bacilli","Erysipelotrichales","Erysipelotrichaceae","Erysipelothrix","Erysipelothrix sp011301115",98.04,0
"443","bin_s28.cct48","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Myroides","Myroides guanonis",100,3.92
"444","bin_s28.mtb8","Bacteria","Desulfobacterota","Desulfovibrionia","Desulfovibrionales","Desulfovibrionaceae","","",100,0
"445","bin_s28.mxb31","Bacteria","Firmicutes","Bacilli","Mycoplasmatales","Mycoplasmoidaceae","Ureaplasma","",94.12,0
"446","bin_s28.vmb7","Bacteria","Firmicutes_A","Clostridia","Clostridiales","Clostridiaceae","Clostridium","",80.39,0
"447","bin_s3.mtb7","Bacteria","Firmicutes","Bacilli","Lactobacillales","Aerococcaceae","","",100,0
"448","bin_s31.cct37_sub","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter","Acinetobacter johnsonii",70.59,3.92
"449","bin_s34.cct25","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Providencia","Providencia alcalifaciens",100,2.63
"450","bin_s34.cct27","Bacteria","Spirochaetota","Spirochaetia","WRBN01","WRBN01","","",94.12,2.63
"451","bin_s34.cct50","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales_A","Rhizobiaceae_A","Pseudochrobactrum","Pseudochrobactrum saccharolyticum",100,2.63
"452","bin_s34.cct52","Bacteria","Firmicutes","Bacilli","Bacillales_A","Planococcaceae","Kurthia","Kurthia gibsonii",100,2.63
"453","bin_s34.mtb22_sub","Bacteria","Firmicutes","Bacilli","Mycoplasmatales","Mycoplasmoidaceae","Mycoplasma_L","",92.16,0
"454","bin_s34.mxb8","Bacteria","Firmicutes","Bacilli","Mycoplasmatales","Mycoplasmoidaceae","Malacoplasma","",92.16,0
"455","bin_s35.cct57_sub","Bacteria","Firmicutes_A","Clostridia","Peptostreptococcales","Peptostreptococcaceae","Romboutsia","",78.43,1.96
"456","bin_s36.mtb18","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Lactococcus","Lactococcus garvieae",100,0
"457","bin_s36.mxb13","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Morganella","Morganella morganii",100,2.63
"458","bin_s36.vmb0","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Myroides","Myroides odoratimimus",100,0
"459","bin_s4.cct33","Bacteria","Firmicutes","Bacilli","Mycoplasmatales","Mycoplasmoidaceae","Ureaplasma","",94.12,0
"460","bin_s4.vmb27","Bacteria","Firmicutes","Bacilli","Haloplasmatales_A","Turicibacteraceae","Turicibacter","",84.31,1.96
"461","bin_s4.vmb43","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Cellulosilyticaceae","","",84.31,1.96
"462","bin_s5.cct76","Bacteria","Firmicutes","Bacilli","Bacillales_A","Planococcaceae","Kurthia","Kurthia zopfii",100,0
"463","bin_s6.cct39","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Neisseriaceae","","",100,3.92
"464","bin_s6.mtb27","Bacteria","Actinobacteriota","Actinomycetia","Actinomycetales","Brevibacteriaceae","Brevibacterium","",72.55,3.92
"465","bin_s6.mtb9","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Providencia","Providencia rettgeri_D",100,2.63
"466","bin_s6.vmb19","Bacteria","Proteobacteria","Gammaproteobacteria","Cardiobacteriales","Wohlfahrtiimonadaceae","Wohlfahrtiimonas","",100,0
